,DAILY_YIELD_kWh
1072,3.35
1078,2.171
1079,1.645
1081,1.541
1088,2.402
1089,1.324
1094,3.35
1096,2.3
1099,1.735
1100,2.171
1101,1.645
1103,1.541
1110,2.402
1111,1.324
1116,3.35
1118,2.3
1121,1.735
1123,1.645
1125,1.541
1133,1.324
1138,3.35
1140,2.3
1143,1.735
1145,1.645
1151,5.56
1159,5.612
1160,3.35
1162,2.146666667
1165,1.735
1166,2.75
1167,1.645
1169,1.673
1173,5.56
1181,5.612
1182,3.35
1187,1.735
1188,2.75
1189,1.645
1195,5.56
1203,5.612
1204,3.35
1209,1.735
1210,2.75
1217,5.56
1225,5.612
1226,3.35
1232,2.75
1239,5.56
1247,5.612
1248,3.35
1254,2.75
1255,1.645
1269,5.612
1276,2.75
1277,1.645
1291,5.612
1297,1.735
1298,2.75
1313,5.612
1319,1.735
1636,9.475
3058,2.525
3063,1.828
3065,2.582
3067,1.839
3074,2.448
3075,1.816
3080,2.525
3085,1.828
3087,2.582
3089,1.839
3096,2.448
3097,1.816
3101,1.792
3102,2.525
3107,1.828
3109,2.582
3111,1.839
3119,1.816
3123,1.792
3124,2.525
3125,3.87
3126,4.045266667
3128,4.159933333
3129,1.828
3131,2.582
3133,1.839
3141,1.816
3143,3.921
3145,1.792
3146,2.525
3147,3.87
3148,4.340071429
3149,3.2638
3150,4.476933333
3151,1.828
3152,4.316533333
3153,2.582
3154,4.385133333
3155,1.839
3156,4.502533333
3158,4.2724
3159,4.525071429
3160,4.4054
3161,4.5062
3163,1.816
3164,4.258866667
3165,3.921
3166,4.378266667
3167,1.792
3169,3.87
3187,3.921
3191,3.87
3209,3.921
3213,3.87
3231,3.921
3257,3.87
3273,2.001
3275,3.921
3279,3.87
3297,3.921
3301,3.87
3305,2.059
3309,1.968
3317,2.001
3319,3.6596
5424,4.425
5427,4.198
5431,3.871
5449,4.198
5453,3.871
5457,4.342
5471,4.198
5475,3.5945
12780,0.0
12852,0.0
12870,0.0
12888,0.0
12906,0.0
14521,0.769
14533,0.916
14539,0.769
14549,1.498
14550,1.121
14551,0.916
14553,2.683
14557,0.769
14559,1.224
14564,1.405
14565,2.091
14567,1.605
14568,1.121
14569,0.916
14571,2.683
14575,0.769
14577,1.224
14582,1.405
14583,2.091
14587,0.916
14593,0.769
14603,1.605
14604,1.121
14605,0.916
14607,2.683
14611,0.769
14613,1.224
14618,1.405
14619,2.091
14621,1.605
14622,1.121
14623,0.916
14625,2.683
14631,0.262285714
14636,1.405
14637,2.091
14639,1.605
14640,1.121
14641,0.916
14643,2.683
14649,1.224
14654,1.405
14655,2.091
14657,1.605
14658,1.121
14659,0.916
14661,2.683
14666,6.285
14667,1.224
14672,1.405
14673,2.091
14675,1.605
14676,1.121
14679,2.683
14684,6.285
14685,1.224
14690,1.405
14691,2.091
14693,1.605
14694,1.121
14697,2.683
14702,6.285
14703,1.224
14708,1.405
14709,2.091
14711,1.605
14712,1.121
14720,6.285
14721,1.224
14726,1.405
14727,2.091
14729,1.605
14739,0.8976
14744,1.405
14745,2.091
14757,0.0
14775,0.0
14793,0.0
14811,0.0
14829,0.0
14847,0.0
14865,0.0
14883,0.0
14901,0.0
14919,0.0
14937,0.0
14955,0.0
14973,0.0
16197,0.0
16215,0.0
16233,0.0
16251,0.0
16269,0.0
16287,0.0
16291,1.414
16296,2.39
16297,2.426
16298,1.455
16299,1.617
16303,1.322
16305,0.0
16308,1.555
16309,1.414
16314,2.39
16315,2.426
16316,1.455
16321,1.322
16326,1.555
16327,1.414
16349,0.0
16350,2.230666667
16351,2.426
16352,1.455
16353,1.617
16357,1.322
16362,1.555
16363,1.414
16368,2.39
16369,2.426
16370,1.455
16371,1.617
16380,1.555
16381,1.414
16399,1.414
16404,2.39
16405,2.426
16406,1.455
16407,1.617
16416,1.555
16417,1.414
16421,0.0
16422,2.39
16424,1.455
16425,1.617
16434,1.555
16435,1.414
16439,0.482266667
16442,1.455
16443,1.617
16452,1.555
16453,1.414
16460,1.455
16461,1.617
16470,1.555
16471,1.414
16493,0.0
16511,0.0
16529,0.0
